OID_,UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Lon,ExpRep
0,AMME,American Memorial Park,MP,PW,15.21501518,145.7240013,NA
1,CEBE,Cedar Creek and Belle Grove National Historical Park,VA,NE,38.9923793,-78.31608609,Northeast
2,LIBI,Little Bighorn Battlefield National Monument,MT,IM,45.56505379,-107.4286363,Mountains
3,CAVO,Capulin Volcano National Monument,NM,IM,36.78171068,-103.9710428,Plains
4,FOBO,Fort Bowie National Historic Site,AZ,IM,32.14925916,-109.4511317,DesertSW
5,GICL,Gila Cliff Dwellings National Monument,NM,IM,33.22760971,-108.2732958,DesertSW
6,TUZI,Tuzigoot National Monument,AZ,IM,34.77296334,-112.027907,DesertSW
7,YUHO,Yucca House National Monument,CO,IM,37.24895445,-108.6859548,Sagebrush
8,WOTR,Wolf Trap National Park for the Performing Arts,VA,NC,38.9379319,-77.26355408,Northeast
9,CASA,Castillo de San Marcos National Monument,FL,SE,29.897857,-81.31217173,Coastal
10,TICA,Timpanogos Cave National Monument,UT,IM,40.44039704,-111.7093944,Sagebrush
11,THIS,Theodore Roosevelt Island National Memorial,DC,NC,38.89584149,-77.06241914,Northeast
12,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,DC,NC,38.87858032,-77.0514583,Northeast
13,ARHO,"Arlington House, The Robert E. Lee Memorial",VA,NC,38.88255199,-77.07460869,Northeast
14,CUGA,Cumberland Gap National Historical Park,KY,SE,36.63126385,-83.60635656,Midwest
15,GREE,Greenbelt Park,MD,NC,38.98403277,-76.90069152,Northeast
16,TUPE,Tupelo National Battlefield,MS,SE,34.25557705,-88.73708623,Coastal
17,BRCR,Brices Cross Roads National Battlefield Site,MS,SE,34.50611958,-88.72889343,Coastal
18,PORE,Point Reyes National Seashore,CA,PW,38.05500555,-122.8797044,NWForest
19,FOSU,Fort Sumter and Fort Moultrie National Historical Park,SC,SE,32.75359427,-79.87933364,Coastal
20,TONT,Tonto National Monument,AZ,IM,33.64842885,-111.1135629,DesertSW
21,HOFR,Home of Franklin D. Roosevelt National Historic Site,NY,NE,41.76804119,-73.92671769,Northeast
22,NISI,Ninety Six National Historic Site,SC,SE,34.1427351,-82.01636093,Midwest
23,BUIS,Buck Island Reef National Monument,VI,SE,17.81026454,-64.62221751,
24,CAWO,Carter G. Woodson National Historic Site,MD,NC,38.91088511,-77.02430875,Northeast
25,BOHA,Boston Harbor Islands National Recreation Area,MA,NE,42.26219884,-70.8761789,Northeast
26,SUCR,Sunset Crater Volcano National Monument,AZ,IM,35.37114203,-111.510376,Sagebrush
27,MABE,Mary McLeod Bethune Council House National Historic Site,DC,NC,38.90818332,-77.03096513,Northeast
28,FOTH,Ford's Theatre National Historic Site,DC,NC,38.89666226,-77.02565974,Northeast
29,BRVB,Brown v. Board of Education National Historic Site,KS,MW,39.03793261,-95.67640762,Midwest
30,PISP,Pipe Spring National Monument,AZ,IM,36.86282664,-112.7398567,Sagebrush
31,ELMO,El Morro National Monument,NM,IM,35.03895884,-108.3463984,Sagebrush
32,ANJO,Andrew Johnson National Historic Site,TN,SE,36.15536303,-82.8381405,Midwest
33,SAPA,Saint Paul's Church National Historic Site,NY,NE,40.89283511,-73.82577277,Northeast
34,CACL,Castle Clinton National Monument,NY,NE,40.70347795,-74.01680558,Coastal
35,FOBU,Fossil Butte National Monument,WY,IM,41.85634277,-110.7624714,Sagebrush
36,HOVE,Hovenweep National Monument,UT,IM,37.383539,-109.0684513,Sagebrush
37,FOUN,Fort Union National Monument,NM,IM,35.90737075,-105.0120174,Plains
38,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SE,37.61197573,-85.64442062,Midwest
39,DRTO,Dry Tortugas National Park,FL,SE,24.64883027,-82.87179065,
40,FOFR,Fort Frederica National Monument,GA,SE,31.22355511,-81.38984256,Coastal
41,MANZ,Manzanar National Historic Site,CA,PW,36.72559147,-118.1547178,DesertSW
42,BRCA,Bryce Canyon National Park,UT,IM,37.5838981,-112.1827111,Sagebrush
43,JODR,"John D. Rockefeller, Jr., Memorial Parkway",WY,IM,44.08869782,-110.7280424,Mountains
44,EDIS,Thomas Edison National Historical Park,NJ,NE,40.78597075,-74.23982097,Northeast
45,YELL,Yellowstone National Park,WY,IM,44.59644456,-110.5471962,Mountains
