OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDa,Creator,EditDate,Editor,GlobalID,Shape_Leng,Shape_Area,ObservedPrcpChange,,,,
1,ANTI,Lands - http://landsnet.nps.gov/tractsnet/documents/ANTI/Metadata/anti_metadata.xml,Antietam National Battlefield,2.02E+13,MD,National Capital,589057,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048139,Antietam,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{3BEF0DD8-292D-4538-A076-431F925BB97A},,22204814.11,60,,,MD,60
2,BRVB,Lands - http://landsnet.nps.gov/tractsnet/documents/BRVB/Metadata/brvb_metadata.xml,Brown v. Board of Education National Historical Park,2.02E+13,KS,Midwest,2510335,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048389,Brown V Board Of Education,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{20852AB7-0A5B-4614-8B3B-ADCA0F1C7CC1},,22946.5974,21,,,KS,21
3,CIRO,Lands - http://landsnet.nps.gov/tractsnet/documents/CIRO/Metadata/ciro_metadata.xml,City of Rocks National Reserve,2.02E+13,ID,Pacific West,401309,National Reserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171130,City of Rocks,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{1004EC93-0BFB-4736-985D-2CEFE8C103E5},,107630941.9,1,,,ID,1
4,ELMA,Lands - http://landsnet.nps.gov/tractsnet/documents/ELMA/Metadata/elma_metadata.xml,El Malpais National Monument,2.02E+13,NM,Mountains,1888913,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239599,El Malpais,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{DE02160B-1F70-4939-8696-4384D543BFEA},,684640761.7,17,,,NM,17
5,GRSA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRSA/Metadata/grsa_metadata.xml,Great Sand Dunes National Park,2.02E+13,CO,Mountains,2733443,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194474,Great Sand Dunes,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{C3EE1A37-E4E3-453A-B112-F99DFEA8D7B8},,698046856,17,,,CO,17
6,ISRO,Unofficial Boundary of Isle Royale National Park.,Isle Royale National Park,2.02E+13,MI,Midwest,1616980,National Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Isle Royale,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{A17BCF72-0D6D-46E2-89FC-625FD66E1919},,4985801155,45,,,MI,45
7,LACH,Lands - http://landsnet.nps.gov/tractsnet/documents/LACH/Metadata/lach_metadata.xml,Lake Chelan National Recreation Area,2.02E+13,WA,Pacific West,1528425,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235462,Lake Chelan,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{EE2A9EF9-E8D3-42F1-812A-2207AA82079B},,576004189.5,1,,,WA,1
8,MNRR,Lands - http://landsnet.nps.gov/tractsnet/documents/MNRR/Metadata/mnrr_metadata.xml,Missouri National Recreational River,2.02E+13,NE,Midwest,2733411,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2242151,Missouri,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{CEE1985F-CF2D-424C-935F-48483CFDA5ED},,514001422.2,24,,,NE,24
9,NEPH,Unofficial Boundary of New Philadelphia National Historic Site.,New Philadelphia National Historic Site,2.02E+13,IL,Midwest,,National Historic Site,,Preliminary data. Contact the Land Resources Program for additional information.,,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{7B9D32C6-D2CC-42E6-A4FA-C0CD05D0363C},,860332.4667,45,,,IL,45
10,NICO,Lands - http://landsnet.nps.gov/tractsnet/documents/NICO/Metadata/nico_metadata.xml,Nicodemus National Historic Site,2.02E+13,KS,Midwest,2733440,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182235,Nicodemus,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{D10975F1-3E40-439A-A23E-8135AB3E4A41},,38671.19568,21,,,MN,45
11,ROMO,Lands - http://landsnet.nps.gov/tractsnet/documents/ROMO/Metadata/romo_metadata.xml,Rocky Mountain National Park,2.02E+13,CO,Mountains,204948,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2209626,Rocky Mountain,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{D044894F-D55F-43FE-8108-7341D1DBC8D8},,1863152638,17,,,AZ,17
12,SACN,Lands - http://landsnet.nps.gov/tractsnet/documents/SACN/Metadata/sacn_metadata.xml,Saint Croix National Scenic Riverway,2.02E+13,MN,Midwest,1888958,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223253,Saint Croix,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{E9C174E6-4A93-45F9-AABC-C532054FC1C3},,590858831.2,45,,,VA,37
13,SAGU,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGU/Metadata/sagu_metadata.xml,Saguaro National Park,2.02E+13,AZ,Mountains,10683,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225704,Saguaro,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{356DAB4E-1FD6-4B29-AC73-6E1E112B4DFB},,530570447.9,17,,,CA,17
14,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2.02E+13,VA,National Capital,1888974,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048198,Wolf Trap NP for the Performing Arts,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{C6D3223E-60EA-487C-83FD-35E729A3C474},,897748.5169,37,,,MP,N/A
15,REDW,Unofficial Boundary of Redwood National Park.,Redwood National Park,2.02E+13,CA,Pacific West,277109,National Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Redwood,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{16DE1641-5E0F-4661-9A03-4DBCC4399F0E},,1025180708,17,,,MA,60
16,AMME,Unofficial Boundary of American Memorial Park.,American Memorial Park,20150422,MP,Pacific West,1879026,Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{0AF51B1B-80E4-41AD-B356-7B8895EE0EF6},,611358.4306,N/A,,,NY,60
17,CAJO,Unofficial Boundary of Captain John Smith Chesapeake National Historic Trail.,Captain John Smith Chesapeake National Historic Trail,20171117,MD,Northeast,1879026,National Historic Trail,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{087F0F18-434E-4BB2-8F88-7EE1552A1FE4},,1692916.371,60,,,ME,60
18,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,20150209,MA,Northeast,600140,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{6D49A3E9-1774-4DF5-96C2-9C7EA3DE0772},,325688.166,60,,,NJ,60
19,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,20120718,NY,Northeast,1888943,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{0E378693-9338-4D18-9D0F-36C42235FFA7},,2202209.614,60,,,NH,60
20,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,20111018,MA,Northeast,1888963,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{CB408CCC-137E-473C-A7C9-6C11BD9019E0},,396708.9466,60,,,RI,60
21,ACAD,Unofficial Boundary of Acadia National Park.,Acadia National Park,20131218,ME,Northeast,578853,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{6E55D874-9569-4AA0-A265-468E46D3E8D9},,274779310.8,60,,,CT,60
